name,dataset,sample_size,h,k,epsilon,vanilla_time,fair_time,vanilla_cost,fair_cost,cost_ratio,vanilla_mean_deviation,fair_mean_deviation,improvement_ratio
vary_size_n64,synthetic,64,4,2,0.0625,0.0005578994750976562,0.0016748905181884766,209.26984126984127,136.86885245901638,0.6540304691230303,0.390625,0.390625,1.0
vary_size_n128,synthetic,128,4,2,0.0625,0.0008127689361572266,0.0041351318359375,496.88188976377955,328.8133333333334,0.6617535074374579,0.3984375,0.3984375,1.0
vary_size_n256,synthetic,256,4,2,0.0625,0.0015900135040283203,0.009615898132324219,697.7254901960785,609.8181818181818,0.8740087475474165,0.3984375,0.3984375,1.0
vary_size_n512,synthetic,512,4,2,0.0625,0.0039010047912597656,0.04636526107788086,1491.412915851272,1273.3870333988211,0.8538125289547962,0.3984375,0.3984375,1.0
vary_size_n1024,synthetic,1024,4,2,0.0625,0.010417938232421875,0.08747410774230957,3918.3264907135876,2661.9725759059747,0.679364668108907,0.3994140625,0.3994140625,1.0
vary_size_n2048,synthetic,2048,4,2,0.0625,0.033142805099487305,0.307297945022583,9252.017586712262,6237.045639771801,0.6741281651614497,0.39990234375,0.39990234375,1.0
vary_size_n4096,synthetic,4096,4,2,0.0625,0.12787675857543945,1.0200488567352295,17649.308913308912,13035.905204006838,0.7386071187284156,0.39990234375,0.39990234375,1.0
vary_h_h2,synthetic,4112,2,16,0.0625,0.1327512264251709,1.134462833404541,16639.546582340063,13112.18876185843,0.7880135854047069,0.3998054474708172,0.3998054474708172,1.0
vary_h_h4,synthetic,4112,4,16,0.0625,0.12618088722229004,0.7600598335266113,16639.546582340063,12340.49890537582,0.7416367293609477,0.3998054474708172,0.3998054474708172,1.0
vary_h_h8,synthetic,4112,8,16,0.0625,0.12492084503173828,0.6788978576660156,16639.546582340063,11127.164558501581,0.6687180148472975,0.3998054474708172,0.3998054474708172,1.0
vary_h_h16,synthetic,4112,16,16,0.0625,0.12259197235107422,0.5766730308532715,16639.546582340063,10545.964667964,0.633789185046465,0.3998054474708172,0.3998054474708172,1.0
vary_h_h32,synthetic,4112,32,16,0.0625,0.19896912574768066,1.060964822769165,16639.546582340063,10259.34940044739,0.6165642404785162,0.3998054474708172,0.3998054474708172,1.0
